respondent_id,lottery_a,smoke,alcohol,gamble,skydiving,speed,cheated,steak,steak_prep,female,age,hhold_income,educ,region
3234982343,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Medium rare,FALSE,>60,"$50,000 - $99,999",Some college or Associate degree,East North Central
3234973379,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Rare,FALSE,>60,"$150,000+",Graduate degree,South Atlantic
3234972383,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,Medium,FALSE,>60,"$50,000 - $99,999",Bachelor degree,New England
3234958833,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Medium,FALSE,>60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3234955240,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Medium rare,FALSE,18-29,"$0 - $24,999",Some college or Associate degree,West South Central
3234955010,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Medium rare,FALSE,18-29,"$25,000 - $49,999",Some college or Associate degree,West North Central
3234953052,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Medium,FALSE,18-29,"$50,000 - $99,999",Bachelor degree,East North Central
3234951249,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Medium rare,FALSE,>60,"$25,000 - $49,999",Some college or Associate degree,Pacific
3234948883,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Medium rare,FALSE,>60,"$50,000 - $99,999",High school degree,South Atlantic
3234948197,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Medium rare,FALSE,18-29,"$100,000 - $149,999",Graduate degree,Middle Atlantic
3234947477,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,Medium,FALSE,18-29,"$50,000 - $99,999",Bachelor degree,West South Central
3234946739,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Rare,FALSE,18-29,"$50,000 - $99,999",Graduate degree,Pacific
3234945250,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,Medium Well,FALSE,>60,"$50,000 - $99,999",Bachelor degree,Pacific
3234944270,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Medium Well,FALSE,18-29,"$25,000 - $49,999",Some college or Associate degree,Mountain
3234941615,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Medium,FALSE,18-29,"$50,000 - $99,999",Bachelor degree,South Atlantic
3234939289,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Medium rare,FALSE,18-29,"$50,000 - $99,999",Bachelor degree,West North Central
3234937720,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Medium rare,FALSE,30-44,"$50,000 - $99,999",Graduate degree,South Atlantic
3234937709,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Medium rare,FALSE,18-29,"$25,000 - $49,999",Bachelor degree,West North Central
3234936804,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Medium rare,FALSE,>60,"$25,000 - $49,999",Some college or Associate degree,Middle Atlantic
3234936220,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Medium rare,FALSE,45-60,"$0 - $24,999",Some college or Associate degree,East North Central
3234935763,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Medium Well,FALSE,18-29,"$50,000 - $99,999",High school degree,West North Central
3234935254,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Medium,FALSE,45-60,"$25,000 - $49,999",Bachelor degree,West South Central
3234932801,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Medium rare,FALSE,45-60,"$50,000 - $99,999",Graduate degree,Middle Atlantic
3234931630,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Medium,FALSE,>60,"$25,000 - $49,999",Graduate degree,East North Central
3234930461,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Medium,FALSE,18-29,"$0 - $24,999",Graduate degree,South Atlantic
3234929351,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Medium,FALSE,45-60,"$50,000 - $99,999",Graduate degree,East South Central
3234928702,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,Medium,FALSE,30-44,"$50,000 - $99,999",Some college or Associate degree,East North Central
3234927960,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,Well,FALSE,18-29,"$25,000 - $49,999",High school degree,West South Central
