Ontario Traffic Inc - Bicycle Counts,,,,,,,,
,,,,,,,,
Location:,College St from Spadina Ave to Huron St,,,,Date:,09/24/2010,,
,,,,,,,,
Direction:,WB,,,,Weather:,Clear,,
,,,,,,,,
Start Time (every 15 min),Gender,,Wearing Helmet,,Passenger On The Bike,,Riding On The Sidewalk,
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
9:15,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,X,
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
9:30,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
9:45,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,X,
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
10:00,,X,,X,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,X,
,X,,,X,,X,,X
10:15,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,X,
,X,,,X,,X,X,
,X,,X,,,X,,X
,X,,,X,,X,X,
,X,,,X,,X,,X
,,X,,X,,X,X,
,X,,,X,,X,,X
,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,,X,X,,,X,,X
10:30,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,,X
,,X,X,,,X,,X
,X,,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
,,X,,X,,X,X,
,,X,X,,,X,,X
,,X,X,,,X,,X
,,X,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
10:45,X,,,X,,X,,X
,,X,X,,,X,,X
,X,,,X,,X,,X
,X,,,X,,X,,X
,X,,X,,,X,,X
